time,actual_sale,baseline_forecast,advanced_forecast,no_forecast,promo,Environmental_Impact
1,161,NA,NA,NA,No Pro,Uncertain
2,222,NA,NA,NA,No Pro,Uncertain
3,195,NA,NA,NA,No Pro,Uncertain
4,192,NA,NA,NA,No Pro,Uncertain
5,221,NA,NA,NA,No Pro,Uncertain
6,239,NA,NA,NA,No Pro,Uncertain
7,737,NA,NA,NA,A,Uncertain
8,221,NA,NA,NA,No Pro,Uncertain
9,240,NA,NA,NA,No Pro,Uncertain
10,204,NA,NA,NA,No Pro,Uncertain
11,209,NA,NA,NA,No Pro,Uncertain
12,214,NA,NA,NA,No Pro,Uncertain
13,190,NA,NA,NA,No Pro,Uncertain
14,485,NA,NA,NA,B,Uncertain
15,173,NA,NA,NA,No Pro,Uncertain
16,205,NA,NA,NA,No Pro,Uncertain
17,229,NA,NA,NA,No Pro,Uncertain
18,218,NA,NA,NA,No Pro,Uncertain
19,200,NA,NA,NA,No Pro,Uncertain
20,836,NA,NA,NA,A,Uncertain
21,187,NA,NA,NA,No Pro,Uncertain
22,171,NA,NA,NA,No Pro,Uncertain
23,178,NA,NA,NA,No Pro,Uncertain
24,260,NA,NA,NA,No Pro,Uncertain
25,NA,NA,NA,NA,B,Negative
